Modelo,AUC Train,AUC Test,PR-AUC Test,Recall+ Test,Balanced Acc. Test,Gap,Diagnóstico
Logistic Reg.,0.5402,0.501,0.0374,0.5604,0.4949,0.0392,⚠️ Sin señal útil
Decision Tree,0.5321,0.5004,0.0374,0.8956,0.5028,0.0317,⚠️ Sin señal útil
