Feature,Mean mastitis=1,Mean mastitis=0,Std. effect
fcr,-0.011786557183895728,0.05082205216520312,0.0643685035395703
omega3_por_leche,-0.0038728782459467176,0.04820437114141714,0.055674436644138965
leche_kg_dia,-0.02691900658903436,-0.07510661227193888,0.04921505869977381
peso_kg,-0.03466108236272609,-0.0006837463224591586,0.0332475520178813
fcr_bin_ord,0.043948025200965926,0.07254679486514329,0.028667330843433918
fibra_pct,0.4383461347012492,0.43317903028324667,0.02786850292991777
ratio_proteina_energia,0.058626217554805134,0.03337827011588666,0.025260462228686484
consumo_ms_kg,-0.022750413236792395,0.00045838084904956545,0.02320613889483039
ratio_fibra_proteina,-0.04469702027941353,-0.06461897699087643,0.020404435037588712
omega3_mg_l,0.011422302233941013,0.03144611123290367,0.019643970775905864
